#######################################################################################################################
 , , ,['[TIME: 2024-02-24 | 12:47]']
    TIME    ,     NICKNAME
#######################################################################################################################
 , , ,['[TIME: 2024-02-24 | 12:49]']
    TIME    ,     NICKNAME
-----------------------------------------------------------------------------------------------------------------------
[TIME: 2024-02-24 | 12:47],Yannick
[TIME: 2024-02-24 | 12:47],Kunnak
[TIME: 2024-02-24 | 12:48],xPhuc
[TIME: 2024-02-24 | 12:48],TestUser
[TIME: 2024-02-24 | 12:48],NickName
[TIME: 2024-02-24 | 12:48],ThePope
[TIME: 2024-02-24 | 12:49],BoeJiden
[TIME: 2024-02-24 | 12:49],Kermit
[TIME: 2024-02-24 | 12:49],LeonardoDiCaprio
#######################################################################################################################
 , , ,['[TIME: 2024-02-24 | 12:50]']
    TIME    ,     NICKNAME
-----------------------------------------------------------------------------------------------------------------------
[TIME: 2024-02-24 | 12:47],Yannick
[TIME: 2024-02-24 | 12:47],Kunnak
[TIME: 2024-02-24 | 12:48],xPhuc
[TIME: 2024-02-24 | 12:48],TestUser
[TIME: 2024-02-24 | 12:48],NickName
[TIME: 2024-02-24 | 12:48],ThePope
[TIME: 2024-02-24 | 12:49],BoeJiden
[TIME: 2024-02-24 | 12:49],Kermit
[TIME: 2024-02-24 | 12:49],LeonardoDiCaprio
[TIME: 2024-02-24 | 12:50],BestProgrammerEver
#######################################################################################################################
 , , ,['[TIME: 2024-03-16 | 13:14]']
----------------------------------------------------------------------------------------------------------------------,-
    TIME    ,     NICKNAME                                                                                            |
----------------------------------------------------------------------------------------------------------------------,-
[TIME: 2024-02-24 | 12:47],Yannick
[TIME: 2024-02-24 | 12:47],Kunnak
[TIME: 2024-02-24 | 12:48],xPhuc
[TIME: 2024-02-24 | 12:48],TestUser
[TIME: 2024-02-24 | 12:48],NickName
[TIME: 2024-02-24 | 12:48],ThePope
[TIME: 2024-02-24 | 12:49],BoeJiden
[TIME: 2024-02-24 | 12:49],Kermit
[TIME: 2024-02-24 | 12:49],LeonardoDiCaprio
[TIME: 2024-02-24 | 12:50],BestProgrammerEver
[TIME: 2024-03-16 | 13:14],NeuerSpieler
#######################################################################################################################
 , , ,['[TIME: 2024-03-16 | 13:17]']
----------------------------------------------------------------------------------------------------------------------,-
    TIME    ,     NICKNAME                                                                                            |
----------------------------------------------------------------------------------------------------------------------,-
[TIME: 2024-02-24 | 12:47],Yannick
[TIME: 2024-02-24 | 12:47],Kunnak
[TIME: 2024-02-24 | 12:48],xPhuc
[TIME: 2024-02-24 | 12:48],TestUser
[TIME: 2024-02-24 | 12:48],NickName
[TIME: 2024-02-24 | 12:48],ThePope
[TIME: 2024-02-24 | 12:49],BoeJiden
[TIME: 2024-02-24 | 12:49],Kermit
[TIME: 2024-02-24 | 12:49],LeonardoDiCaprio
[TIME: 2024-02-24 | 12:50],BestProgrammerEver
[TIME: 2024-03-16 | 13:14],NeuerSpieler
[TIME: 2024-03-16 | 13:17],Tapper
